Namespace(dataset='movielens', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
current iteration: 	 1
select index length:	 20
idx_select:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
train index length:	 20
train index:	 [3240, 7994, 8333, 976, 6286, 9452, 1631, 8221, 3678, 3248, 9484, 3932, 4872, 5293, 7696, 7614, 98, 4007, 5442, 6082]
start training...
Epoch 00057 | Train Acc: 0.8500 | Train Loss: 0.3967 | Valid Acc: 0.3551 | Valid loss: 1.5130 | Time: 0.0342
Epoch 00058 | Train Acc: 1.0000 | Train Loss: 0.2345 | Valid Acc: 0.3617 | Valid loss: 1.4542 | Time: 0.0342
Epoch 00059 | Train Acc: 0.9500 | Train Loss: 0.2339 | Valid Acc: 0.3388 | Valid loss: 1.5636 | Time: 0.0341
Epoch 00060 | Train Acc: 0.8000 | Train Loss: 0.3462 | Valid Acc: 0.3584 | Valid loss: 1.5091 | Time: 0.0341
Epoch 00061 | Train Acc: 0.9000 | Train Loss: 0.3295 | Valid Acc: 0.3529 | Valid loss: 1.5340 | Time: 0.0340
Epoch 00062 | Train Acc: 0.9000 | Train Loss: 0.2309 | Valid Acc: 0.3660 | Valid loss: 1.5317 | Time: 0.0340
Epoch 00063 | Train Acc: 0.9500 | Train Loss: 0.2452 | Valid Acc: 0.3573 | Valid loss: 1.5576 | Time: 0.0339
Epoch 00064 | Train Acc: 1.0000 | Train Loss: 0.2326 | Valid Acc: 0.3475 | Valid loss: 1.5689 | Time: 0.0338
Epoch 00065 | Train Acc: 0.9000 | Train Loss: 0.2803 | Valid Acc: 0.3704 | Valid loss: 1.5475 | Time: 0.0338
Epoch 00066 | Train Acc: 0.9500 | Train Loss: 0.2271 | Valid Acc: 0.3747 | Valid loss: 1.5403 | Time: 0.0337
Epoch 00067 | Train Acc: 1.0000 | Train Loss: 0.1078 | Valid Acc: 0.3519 | Valid loss: 1.6143 | Time: 0.0337
Epoch 00068 | Train Acc: 1.0000 | Train Loss: 0.1848 | Valid Acc: 0.3464 | Valid loss: 1.6678 | Time: 0.0338
Epoch 00069 | Train Acc: 0.9500 | Train Loss: 0.2223 | Valid Acc: 0.3660 | Valid loss: 1.6023 | Time: 0.0339
Epoch 00070 | Train Acc: 0.9000 | Train Loss: 0.2704 | Valid Acc: 0.3377 | Valid loss: 1.7404 | Time: 0.0339
Epoch 00071 | Train Acc: 1.0000 | Train Loss: 0.1498 | Valid Acc: 0.3758 | Valid loss: 1.5172 | Time: 0.0338
Epoch 00072 | Train Acc: 0.8500 | Train Loss: 0.2685 | Valid Acc: 0.3715 | Valid loss: 1.6394 | Time: 0.0338
Epoch 00073 | Train Acc: 1.0000 | Train Loss: 0.1940 | Valid Acc: 0.3856 | Valid loss: 1.5841 | Time: 0.0338
Epoch 00074 | Train Acc: 1.0000 | Train Loss: 0.1512 | Valid Acc: 0.3508 | Valid loss: 1.6594 | Time: 0.0338
Epoch 00075 | Train Acc: 0.9500 | Train Loss: 0.1362 | Valid Acc: 0.3453 | Valid loss: 1.6734 | Time: 0.0337
Epoch 00076 | Train Acc: 1.0000 | Train Loss: 0.1307 | Valid Acc: 0.3410 | Valid loss: 1.7644 | Time: 0.0337
Epoch 00077 | Train Acc: 0.9000 | Train Loss: 0.1698 | Valid Acc: 0.3725 | Valid loss: 1.6340 | Time: 0.0337
Epoch 00078 | Train Acc: 0.9500 | Train Loss: 0.2490 | Valid Acc: 0.3747 | Valid loss: 1.6419 | Time: 0.0336
Epoch 00079 | Train Acc: 0.9500 | Train Loss: 0.1721 | Valid Acc: 0.3344 | Valid loss: 1.7424 | Time: 0.0336
Epoch 00080 | Train Acc: 0.8500 | Train Loss: 0.2866 | Valid Acc: 0.3540 | Valid loss: 1.6813 | Time: 0.0335
Epoch 00081 | Train Acc: 0.9500 | Train Loss: 0.1681 | Valid Acc: 0.3344 | Valid loss: 1.7554 | Time: 0.0335
Epoch 00082 | Train Acc: 0.8500 | Train Loss: 0.2634 | Valid Acc: 0.3660 | Valid loss: 1.7059 | Time: 0.0334
Epoch 00083 | Train Acc: 0.9500 | Train Loss: 0.2247 | Valid Acc: 0.3420 | Valid loss: 1.8220 | Time: 0.0334
Epoch 00084 | Train Acc: 1.0000 | Train Loss: 0.1679 | Valid Acc: 0.3551 | Valid loss: 1.7524 | Time: 0.0349
Epoch 00085 | Train Acc: 0.9500 | Train Loss: 0.2045 | Valid Acc: 0.3845 | Valid loss: 1.6959 | Time: 0.0359
