Namespace(dataset='cora', dropout=0.5, gpu=0, l2norm=0, lr=0.01, model_path=None, n_bases=-1, n_epochs=200, n_hidden=3, n_layers=2, use_self_loop=False, validation=False)
Graph constructed.
adj_shape:	 (56670, 56670)
current iteration: 	 1
select index length:	 20
idx_select:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
train index length:	 20
train index:	 [29087, 31381, 37825, 27310, 43992, 35331, 30029, 33078, 34808, 31651, 33841, 39204, 43238, 27564, 38435, 37443, 25485, 31044, 36721, 30714]
rgcn index: 	 [4126, 6420, 12864, 2349, 19031, 10370, 5068, 8117, 9847, 6690, 8880, 14243, 18277, 2603, 13474, 12482, 524, 6083, 11760, 5753]
others:	 ['author', 'paper', 'term']
start training...
Epoch 00058 | Train Acc: 0.8500 | Train Loss: 0.5056 | Valid Acc: 0.3236 | Valid loss: 2.1381 | Time: 0.0383
Epoch 00059 | Train Acc: 0.9500 | Train Loss: 0.4447 | Valid Acc: 0.3139 | Valid loss: 2.1474 | Time: 0.0382
Epoch 00060 | Train Acc: 0.9000 | Train Loss: 0.4296 | Valid Acc: 0.3185 | Valid loss: 2.1640 | Time: 0.0382
Epoch 00061 | Train Acc: 0.9000 | Train Loss: 0.4845 | Valid Acc: 0.3246 | Valid loss: 2.1509 | Time: 0.0382
Epoch 00062 | Train Acc: 0.9000 | Train Loss: 0.4258 | Valid Acc: 0.3165 | Valid loss: 2.1826 | Time: 0.0385
Epoch 00063 | Train Acc: 0.9000 | Train Loss: 0.4669 | Valid Acc: 0.3126 | Valid loss: 2.1873 | Time: 0.0386
Epoch 00064 | Train Acc: 0.8500 | Train Loss: 0.3886 | Valid Acc: 0.3349 | Valid loss: 2.1362 | Time: 0.0385
Epoch 00065 | Train Acc: 0.9500 | Train Loss: 0.3217 | Valid Acc: 0.3280 | Valid loss: 2.1756 | Time: 0.0386
Epoch 00066 | Train Acc: 0.9000 | Train Loss: 0.3627 | Valid Acc: 0.3042 | Valid loss: 2.2225 | Time: 0.0386
Epoch 00067 | Train Acc: 0.9500 | Train Loss: 0.4025 | Valid Acc: 0.3162 | Valid loss: 2.1868 | Time: 0.0386
Epoch 00068 | Train Acc: 1.0000 | Train Loss: 0.2481 | Valid Acc: 0.3060 | Valid loss: 2.2340 | Time: 0.0385
Epoch 00069 | Train Acc: 0.9000 | Train Loss: 0.4280 | Valid Acc: 0.3154 | Valid loss: 2.2209 | Time: 0.0385
Epoch 00070 | Train Acc: 0.9500 | Train Loss: 0.2902 | Valid Acc: 0.3185 | Valid loss: 2.2298 | Time: 0.0386
Epoch 00071 | Train Acc: 1.0000 | Train Loss: 0.2513 | Valid Acc: 0.3124 | Valid loss: 2.2393 | Time: 0.0387
Epoch 00072 | Train Acc: 0.9500 | Train Loss: 0.3053 | Valid Acc: 0.3096 | Valid loss: 2.2749 | Time: 0.0387
Epoch 00073 | Train Acc: 0.9500 | Train Loss: 0.3573 | Valid Acc: 0.3126 | Valid loss: 2.2612 | Time: 0.0387
Epoch 00074 | Train Acc: 0.9000 | Train Loss: 0.4217 | Valid Acc: 0.3106 | Valid loss: 2.2636 | Time: 0.0387
Epoch 00075 | Train Acc: 0.9500 | Train Loss: 0.2327 | Valid Acc: 0.2991 | Valid loss: 2.2934 | Time: 0.0386
Epoch 00076 | Train Acc: 0.9000 | Train Loss: 0.2658 | Valid Acc: 0.3142 | Valid loss: 2.2604 | Time: 0.0386
Epoch 00077 | Train Acc: 0.8500 | Train Loss: 0.3864 | Valid Acc: 0.3139 | Valid loss: 2.2835 | Time: 0.0386
Epoch 00078 | Train Acc: 0.9500 | Train Loss: 0.3130 | Valid Acc: 0.3154 | Valid loss: 2.2769 | Time: 0.0386
Epoch 00079 | Train Acc: 1.0000 | Train Loss: 0.2676 | Valid Acc: 0.3096 | Valid loss: 2.2894 | Time: 0.0386
Epoch 00080 | Train Acc: 0.9500 | Train Loss: 0.3030 | Valid Acc: 0.3073 | Valid loss: 2.3290 | Time: 0.0386
Epoch 00081 | Train Acc: 0.9500 | Train Loss: 0.3111 | Valid Acc: 0.2970 | Valid loss: 2.3223 | Time: 0.0385
Epoch 00082 | Train Acc: 1.0000 | Train Loss: 0.1868 | Valid Acc: 0.3106 | Valid loss: 2.3278 | Time: 0.0385
Epoch 00083 | Train Acc: 1.0000 | Train Loss: 0.2220 | Valid Acc: 0.3116 | Valid loss: 2.3432 | Time: 0.0385
Epoch 00084 | Train Acc: 0.9500 | Train Loss: 0.2260 | Valid Acc: 0.2955 | Valid loss: 2.3438 | Time: 0.0386
Epoch 00085 | Train Acc: 0.9500 | Train Loss: 0.2931 | Valid Acc: 0.3039 | Valid loss: 2.3561 | Time: 0.0387
Epoch 00086 | Train Acc: 1.0000 | Train Loss: 0.1809 | Valid Acc: 0.3027 | Valid loss: 2.3566 | Time: 0.0388
Epoch 00087 | Train Acc: 1.0000 | Train Loss: 0.2737 | Valid Acc: 0.2963 | Valid loss: 2.3926 | Time: 0.0388
Epoch 00088 | Train Acc: 0.9000 | Train Loss: 0.3082 | Valid Acc: 0.2988 | Valid loss: 2.3852 | Time: 0.0389
Epoch 00089 | Train Acc: 1.0000 | Train Loss: 0.1939 | Valid Acc: 0.2889 | Valid loss: 2.4022 | Time: 0.0390
Epoch 00090 | Train Acc: 1.0000 | Train Loss: 0.2183 | Valid Acc: 0.3019 | Valid loss: 2.3941 | Time: 0.0390
Epoch 00091 | Train Acc: 0.8500 | Train Loss: 0.3172 | Valid Acc: 0.2873 | Valid loss: 2.4255 | Time: 0.0391
Epoch 00092 | Train Acc: 1.0000 | Train Loss: 0.1629 | Valid Acc: 0.2896 | Valid loss: 2.4082 | Time: 0.0391
Epoch 00093 | Train Acc: 0.9500 | Train Loss: 0.2187 | Valid Acc: 0.2886 | Valid loss: 2.4214 | Time: 0.0392
Epoch 00094 | Train Acc: 1.0000 | Train Loss: 0.1935 | Valid Acc: 0.2981 | Valid loss: 2.4416 | Time: 0.0392
Epoch 00095 | Train Acc: 0.9500 | Train Loss: 0.2106 | Valid Acc: 0.2965 | Valid loss: 2.4308 | Time: 0.0392
Epoch 00096 | Train Acc: 1.0000 | Train Loss: 0.1954 | Valid Acc: 0.2924 | Valid loss: 2.4275 | Time: 0.0393
Epoch 00097 | Train Acc: 1.0000 | Train Loss: 0.1200 | Valid Acc: 0.2889 | Valid loss: 2.4423 | Time: 0.0393
Epoch 00098 | Train Acc: 0.9500 | Train Loss: 0.1542 | Valid Acc: 0.3129 | Valid loss: 2.4252 | Time: 0.0393
Epoch 00099 | Train Acc: 1.0000 | Train Loss: 0.1021 | Valid Acc: 0.2958 | Valid loss: 2.4544 | Time: 0.0392
Epoch 00100 | Train Acc: 1.0000 | Train Loss: 0.2139 | Valid Acc: 0.2983 | Valid loss: 2.4499 | Time: 0.0392
